text,intent
tengo fiebre por favor en mi cuarto,alerta
anímame un poco si puedes!,social
pon una alarma para cambiar el parche a las 10,recordatorio
déjame descansar gracias me duele la cabeza,rechazo
que no se me olvide cambiar el parche a las 8 si puedes,recordatorio
anímame un poco por favor,social
llama al médico cuando puedas,alerta
¿charlamos un rato? cuando te venga bien,social
me he caído por favor en el baño,alerta
va a llover hoy en Madrid,abierta
llama al 112 en el baño,alerta
recuérdame tomar las pastillas a las 8 si puedes,recordatorio
no puedo respirar bien no me dejes solo en la cocina,alerta
hazme recordar cambiar el parche esta noche por favor,recordatorio
llama al médico no me dejes sola en mi cuarto,alerta
no me apetece hijo me duele la cabeza,rechazo
ponme un recordatorio para llamar al médico en una hora si puedes,recordatorio
ahora no gracias quiero dormir,rechazo
no me encuentro bien que vengan ya estoy en el salón,alerta
cómo hago una tortilla en Madrid.,abierta
háblame un poco ¿vale?,social
me caí por favor en la cocina,alerta
pon una alarma para beber agua en una hora que no se me pase,recordatorio
qué novedades hay en política en mi barrio gracias,abierta
cómo renovar la receta electrónica en Madrid.,abierta
pon la COPE por favor,social
estoy triste por favor.,social
no me encuentro bien que vengan ya en mi cuarto,alerta
me encuentro mal ahora mismo en el pasillo,alerta
buenos días por favor!,social
me dejas en paz por favor,rechazo
me sangra la nariz ahora mismo en el pasillo,alerta
me siento solo!,social
me caí ahora mismo en el pasillo,alerta
ponme un recordatorio para ponerme las gotas a las 10 por favor,recordatorio
cómo renovar la receta electrónica en mi barrio,abierta
tengo fiebre no me dejes sola en mi cuarto,alerta
no insistas por favor estoy comiendo,rechazo
ponme las noticias en Madrid gracias,abierta
cómo renovar la receta electrónica paso a paso,abierta
buenos días cuando te venga bien ¿vale?,social
ponme las noticias para torpes.,abierta
me dejas en paz por favor estoy comiendo,rechazo
no me encuentro bien en mi cuarto,alerta
acuérdate de ponerme las gotas dentro de media hora que suene fuerte,recordatorio
qué novedades hay en política en mi barrio!,abierta
llama a mi hija si es posible en la cocina,alerta
qué tiempo hará mañana por favor,abierta
cómo se prepara un cocido en Madrid,abierta
avisa a la enfermera por favor estoy en el salón,alerta
mejor más tarde,rechazo
llama al médico no me dejes solo en la cocina,alerta
no insistas hijo quiero dormir,rechazo
ponme un recordatorio para medirme la tensión esta tarde,recordatorio
hazme recordar hacer la compra a las 8 que suene fuerte,recordatorio
tengo fiebre si es posible en la cocina,alerta
déjame descansar hijo quiero dormir,rechazo
ahora no hija estoy comiendo,rechazo
mejor más tarde hija estoy comiendo,rechazo
qué tiempo hará mañana paso a paso,abierta
qué novedades hay en política en Madrid.,abierta
no insistas estoy viendo la tele,rechazo
no necesito nada por favor,rechazo
cómo renovar la receta electrónica por favor por favor,abierta
anímame un poco!,social
tengo fiebre cuando puedas en el pasillo,alerta
anótame hacer la compra esta tarde por favor,recordatorio
apúntame tomar las pastillas a las 8 que suene fuerte,recordatorio
pon la SER si puedes,social
no me apetece cariño estoy comiendo,rechazo
qué tiempo hará mañana en Madrid ¿vale?,abierta
anótame tomar las pastillas esta noche,recordatorio
me siento sola cuando te venga bien,social
hoy no tengo ganas por favor quiero dormir,rechazo
llama al 112 estoy en el salón,alerta
no necesito nada gracias quiero dormir,rechazo
prefiero que no hija estoy comiendo,rechazo
pon la radio.,social
llama al 112 no me dejes solo en el baño,alerta
qué puedo hacer de cena en Madrid!,abierta
buenos días cuando te venga bien,social
no insistas,rechazo
que no se me olvide hacer la compra a las 8 que suene fuerte,recordatorio
me sangra la nariz ahora mismo estoy en el salón,alerta
no puedo respirar bien no me dejes sola en el baño,alerta
recuérdame ponerme las gotas en una hora si puedes,recordatorio
apúntame medirme la tensión a las 8 que suene fuerte,recordatorio
no me encuentro bien si es posible en el baño,alerta
me dejas en paz gracias estoy viendo la tele,rechazo
estoy triste cuando te venga bien por favor,social
qué puedo hacer de cena en mi barrio,abierta
qué tiempo hará mañana por favor,abierta
apúntame tomar las pastillas dentro de media hora por favor,recordatorio
que no se me olvide hacer la compra en una hora que suene fuerte,recordatorio
acuérdate de hacer los ejercicios cuando acabe el telediario si puedes,recordatorio
hazme recordar poner la insulina a las 8 si puedes,recordatorio
no puedo respirar bien cuando puedas en mi cuarto,alerta
me dejas en paz hijo quiero dormir,rechazo
anótame cambiar el parche mañana por la mañana por favor,recordatorio
déjame descansar hijo me duele la cabeza,rechazo
explícame qué es la fibrilación auricular paso a paso,abierta
prefiero que no gracias estoy comiendo,rechazo
me he caído urgente en la cocina,alerta
apúntame ponerme las gotas en una hora que suene fuerte,recordatorio
estoy triste si puedes,social
apúntame poner la insulina cuando acabe el telediario si puedes,recordatorio
anímame un poco cuando te venga bien gracias,social
no quiero hablar ahora por favor quiero dormir,rechazo
déjalo en la agenda poner la insulina a las 9 por favor,recordatorio
qué puedo hacer de cena por favor,abierta
necesito ayuda no me dejes sola estoy en el salón,alerta
ponme un recordatorio para beber agua a las 10 si puedes,recordatorio
que no se me olvide hacer la compra a las 9 que no se me pase,recordatorio
ponme un recordatorio para llamar al médico cuando acabe el telediario,recordatorio
me dejas en paz gracias me duele la cabeza,rechazo
hazme recordar hacer la compra a las 9 que no se me pase,recordatorio
tengo fiebre urgente,alerta
me siento solo cuando te venga bien por favor,social
cómo pedir cita con el médico en Madrid gracias,abierta
cómo se prepara un cocido,abierta
pon la COPE si puedes,social
no me apetece estoy comiendo,rechazo
cómo se prepara un cocido para torpes,abierta
ponme las noticias por favor,abierta
avísame de poner la insulina dentro de media hora que suene fuerte,recordatorio
que no se me olvide llamar al médico esta tarde por favor,recordatorio
no quiero hablar ahora cariño,rechazo
acuérdate de hacer los ejercicios a las 8 por favor,recordatorio
qué tiempo hará mañana paso a paso por favor,abierta
llama al médico que vengan ya en el pasillo,alerta
